SUBDIVISION,YEAR,Parameter,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
ANDAMAN & NICOBAR ISLANDS,1901-2015,Mean,49.2,27.6,30,72.2,355.6,471.4,397.5,400.5,431.3,289.5,233,153.3,2911,76.8,457.8,1700.7,675.8
ANDAMAN & NICOBAR ISLANDS,1901-2015,Standard deviation,71.3,38.8,43.6,66.8,151.2,147.0,151.9,142.6,146.7,99.4,119.4,129.5,395.9,81.1,176.8,286.3,199.0
ANDAMAN & NICOBAR ISLANDS,1901-2015,Coefficient of variation,144.9,140.4,145.5,92.5,42.5,31.2,38.2,35.6,34.0,34.3,51.2,84.5,13.6,105.6,38.6,16.8,29.4
ANDAMAN & NICOBAR ISLANDS,1901,Actual,49.2,87.1,29.2,2.3,528.8,517.5,365.1,481.1,332.6,388.5,558.2,33.6,3373.2,136.3,560.3,1696.3,980.3
ANDAMAN & NICOBAR ISLANDS,1901,Percentage departure,-0.1,215.9,-2.6,-96.8,48.7,9.8,-8.2,20.1,-22.9,34.2,139.5,-78.1,15.9,77.5,22.4,-0.3,45.1
ANDAMAN & NICOBAR ISLANDS,1901,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1902,Actual,0,159.8,12.2,0,446.1,537.1,228.9,753.7,666.2,197.2,359,160.5,3520.7,159.8,458.3,2185.9,716.7
ANDAMAN & NICOBAR ISLANDS,1902,Percentage departure,-100,479.6,-59.3,-100,25.5,13.9,-42.4,88.2,54.5,-31.9,54.1,4.7,20.9,108.1,0.1,28.5,6.1
ANDAMAN & NICOBAR ISLANDS,1902,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1903,Actual,12.7,144,0,1,235.1,479.9,728.4,326.7,339,181.2,284.4,225,2957.4,156.7,236.1,1874,690.6
ANDAMAN & NICOBAR ISLANDS,1903,Percentage departure,-74.2,422.3,-100,-98.6,-33.9,1.8,83.2,-18.4,-21.4,-37.4,22,46.8,1.6,104,-48.4,10.2,2.2
ANDAMAN & NICOBAR ISLANDS,1903,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1904,Actual,9.4,14.7,0,202.4,304.5,495.1,502,160.1,820.4,222.2,308.7,40.1,3079.6,24.1,506.9,1977.6,571
ANDAMAN & NICOBAR ISLANDS,1904,Percentage departure,-80.9,-46.7,-100,180.3,-14.4,5,26.3,-60,90.2,-23.2,32.5,-73.8,5.8,-68.6,10.7,16.3,-15.5
ANDAMAN & NICOBAR ISLANDS,1904,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1905,Actual,1.3,0,3.3,26.9,279.5,628.7,368.7,330.5,297,260.7,25.4,344.7,2566.7,1.3,309.7,1624.9,630.8
ANDAMAN & NICOBAR ISLANDS,1905,Percentage departure,-97.4,-100,-89,-62.7,-21.4,33.4,-7.2,-17.5,-31.1,-9.9,-89.1,124.8,-11.8,-98.3,-32.3,-4.5,-6.7
ANDAMAN & NICOBAR ISLANDS,1905,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1906,Actual,36.6,0,0,0,556.1,733.3,247.7,320.5,164.3,267.8,128.9,79.2,2534.4,36.6,556.1,1465.8,475.9
ANDAMAN & NICOBAR ISLANDS,1906,Percentage departure,-25.6,-100,-100,-100,56.4,55.6,-37.7,-20,-61.9,-7.5,-44.7,-48.3,-12.9,-52.3,21.5,-13.8,-29.6
ANDAMAN & NICOBAR ISLANDS,1906,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1907,Actual,110.7,0,113.3,21.6,616.3,305.2,443.9,377.6,200.4,264.4,648.9,245.6,3347.9,110.7,751.2,1327.1,1158.9
ANDAMAN & NICOBAR ISLANDS,1907,Percentage departure,124.9,-100,278,-70.1,73.3,-35.2,11.7,-5.7,-53.5,-8.7,178.5,60.2,15,44.1,64.1,-22,71.5
ANDAMAN & NICOBAR ISLANDS,1907,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1908,Actual,20.9,85.1,0,29,562,693.6,481.4,699.9,428.8,170.7,208.1,196.9,3576.4,106,591,2303.7,575.7
